"id","title","frequency","organisation_id"
(1,🚮 Take out bins,,199)
(2,🍽️ Wash loose dishes,,199)
(3,🍳 Tidy after cooking,,199)
(4,🧺 Washy clothes,,199)
(5,✨ Wipe surfaces,,199)
(6,🍽️ Start dishwasher,,199)
(7,💩 Clean morning truffles,24,199)
(8,🍽️ Empty the dishwasher,,199)
(9,🧹 Hoover bedroom,168,199)
(10,😷 Empty hoover,,199)
(11,🛌️ Make bed,24,199)
(12,🌊 Refill bun-bun water,,199)
(13,🐰 Brushy brushy bunnies,168,199)
(14,🐇 Clean litter trays,96,199)
(15,🌾 Refill hay hay hay,,199)
(16,🚽 Empty bathroom bin,,199)
(17,🧹 Hoover around house,72,199)
